2017-01-06 08:44:26,715 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\collaboration\CollborationBackend\src\test\resources
2017-01-06 08:52:22,177 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:CollborationBackend:0.0.1-SNAPSHOT @ D:\collaboration\CollborationBackend\pom.xml.
2017-01-06 08:52:32,996 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 08:52:32,999 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-06 08:52:33,001 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 08:52:33,002 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\collaboration\CollborationBackend\src\test\resources
2017-01-06 08:52:33,002 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of CollborationBackend
2017-01-06 08:52:33,121 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for CollborationBackend
2017-01-06 08:52:33,139 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 08:52:34,963 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 08:52:34,964 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-06 08:52:34,966 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 08:52:34,967 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\collaboration\CollborationBackend\src\test\resources
2017-01-06 08:52:36,168 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\collaboration\CollborationBackend
2017-01-06 08:52:36,169 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-01-06 08:52:50,147 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-01-06 08:53:06,089 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\collaboration\CollborationBackend
2017-01-06 08:53:06,089 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean compile install
2017-01-06 08:55:51,647 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
